,gameRank,playerKill,monsterKill,characterLevel,bestWeaponLevel,damageToPlayer,totalTime,userNum,gameId
254,12,0,15,11,9,3727,403,1298857,16464793
255,3,0,52,17,14,4005,1040,1298857,16464103
256,1,2,37,17,15,12691,881,1298857,16460403
257,8,1,39,16,14,9906,842,1298857,16450948
258,5,1,51,18,15,5116,1027,1298857,16430260
259,7,0,41,16,12,988,881,1298857,16428407
260,3,0,54,18,13,3909,1030,1298857,16412842
261,3,3,42,20,18,17201,1143,1298857,16412445
262,6,0,53,19,15,6916,1158,1298857,16411799
263,1,3,39,20,19,21370,1222,1298857,16411257
264,12,0,10,11,7,1377,385,1298857,16410126
265,13,0,13,11,7,2821,402,1298857,16409817
266,6,1,29,16,13,5965,820,1298857,16406479
267,16,0,15,10,7,601,294,1298857,16387465
268,7,1,25,18,11,5205,1144,1298857,16386716
269,10,0,24,13,10,4432,562,1298857,16385485
270,12,0,18,11,9,3986,407,1298857,16368827
271,13,0,16,11,8,1937,422,1298857,16358147
272,2,1,47,17,15,5966,871,1298857,16344688
273,5,0,33,17,15,12324,1069,1298857,16344504
274,2,0,45,17,13,2307,1076,1298857,16343577
275,9,0,27,12,9,1808,459,1298857,16342442
276,3,2,47,19,16,11877,1235,1298857,16341898
277,5,3,37,17,15,14338,931,1298857,16300438
278,12,1,11,10,8,1906,338,1298857,16279536
279,2,1,47,19,16,10358,1213,1298857,16277837
280,2,0,47,16,14,1189,957,1298857,16251752
281,9,0,33,15,11,421,728,1298857,16251476
282,2,1,50,19,19,24975,1242,1298857,16231254
283,1,2,50,18,16,6769,1199,1298857,16215489
284,16,0,10,10,8,4919,391,1298857,16213811
285,18,0,10,7,6,1760,175,1298857,16211678
286,3,0,34,17,13,5684,1032,1298857,16210946
287,16,0,4,6,4,69,141,1298857,16210789
288,16,0,11,9,7,2192,266,1298857,16210514
289,11,1,19,13,11,7123,573,1298857,16210064
290,2,2,45,19,17,13219,1261,1298857,16209233
291,7,1,36,15,12,3622,758,1298857,16208562
292,10,0,21,12,10,4665,521,1298857,16208136
293,18,0,6,8,5,973,206,1298857,16207748
294,2,3,45,18,17,10890,1178,1298857,16206907
295,2,2,40,18,15,11213,1080,1298857,16206169
296,10,1,27,13,11,5819,551,1298857,16205750
297,12,2,11,11,8,4322,383,1298857,16205500
298,5,1,44,17,14,4802,1016,1298857,16201621
299,6,0,34,16,13,6880,985,1298857,16190754
300,2,0,34,17,14,6118,1046,1298857,16189590
301,8,0,22,15,12,6831,702,1298857,16189318
302,2,3,53,19,18,11833,1240,1298857,16188782
303,5,1,38,16,13,3229,993,1298857,16188357
304,3,3,35,18,17,13211,1253,1298857,16179151
305,2,1,42,19,16,8408,1160,1298857,16175782
306,18,0,3,6,5,1739,154,1298857,16160463
307,7,2,19,15,13,14896,708,1298857,16160024
308,4,2,37,17,16,12690,1155,1298857,16159344
309,5,1,44,19,17,10761,1161,1298857,16158694
310,5,0,28,15,12,3276,909,1298857,16158223
311,17,0,2,7,4,1112,155,1298857,16157427
312,7,0,32,16,12,544,801,1298857,16155874
313,17,0,7,10,7,2871,295,1298857,16096341
314,6,0,26,17,12,3926,872,1298857,16096143
315,6,0,37,17,13,3840,888,1298857,16046441
316,11,0,20,14,11,6968,667,1298857,16015066
317,6,0,23,14,10,2088,648,1298857,15997294
318,1,4,52,20,19,15356,1274,1298857,15995785
319,7,0,29,16,11,3465,847,1298857,15991383
320,5,1,36,18,15,10524,1061,1298857,15990887
321,8,1,29,16,11,3008,791,1298857,15990523
322,17,0,3,8,4,880,191,1298857,15990398
323,10,0,15,12,10,5690,455,1298857,15978516
324,5,0,32,16,11,2115,735,1298857,15977351
325,4,2,48,18,17,13745,1063,1298857,15976695
326,3,0,46,18,15,8713,1163,1298857,15975870
327,3,1,48,18,14,5665,1024,1298857,15974616
328,15,0,14,11,8,3094,361,124728,16632431
329,13,1,26,13,11,6591,593,124728,16632102
330,3,2,27,16,13,12614,1173,124728,16631531
331,15,1,16,10,8,2311,293,124728,16629528
332,11,0,30,13,10,1844,545,124728,16629133
333,16,0,9,9,6,836,237,124728,16474461
334,18,0,0,4,1,135,115,124728,16240147
335,4,1,57,18,16,7499,1151,124728,16237750
336,15,0,12,10,8,3782,353,124728,16237453
337,7,0,45,15,11,1860,721,124728,16236936
338,4,5,30,17,15,15236,1042,124728,16236023
339,15,0,10,9,6,1565,342,124728,16231854
340,17,0,2,7,2,325,155,124728,16231662
341,16,0,8,8,5,264,229,124728,16231446
342,13,1,14,11,9,4827,359,124728,16231170
343,13,0,22,13,10,4112,583,124728,16222535
344,5,1,52,16,13,4209,816,124728,16222172
345,1,6,39,18,18,15071,1189,124728,16190393
346,18,0,7,8,5,238,180,124728,16190303
347,1,4,33,20,18,20144,1231,124728,15893466
348,4,1,35,16,14,9249,942,124728,15892866
349,14,0,20,10,9,5494,391,124728,15892615
350,9,0,18,12,9,1697,507,124728,15582537
351,10,0,14,11,8,1644,405,124728,15582261
352,2,0,30,17,12,8658,1110,776723,17125098
353,2,2,40,17,15,10041,1273,776723,17122974
354,2,1,43,17,13,6737,1169,776723,17099684
355,13,0,6,10,7,3178,342,776723,17099391
356,5,1,35,16,13,8652,904,776723,17098735
357,2,0,40,18,12,451,1115,776723,17098002
358,1,3,50,19,16,9233,1240,776723,17097279
359,4,1,26,16,10,3473,1067,776723,17096659
360,9,1,21,12,9,3831,632,776723,17095164
361,6,2,22,16,11,5293,952,776723,17094744
362,12,0,12,10,5,309,356,776723,17090154
363,11,1,10,10,7,2272,307,776723,17090013
364,3,2,19,16,12,8455,935,776723,17089782
365,2,2,26,18,13,7884,1130,776723,17086337
366,5,0,29,15,11,3917,815,776723,17085938
367,13,2,10,12,10,7409,562,776723,16879616
368,8,0,16,12,8,2701,608,776723,16878364
369,3,2,38,18,14,10393,1174,776723,16853079
370,11,0,7,10,6,2360,346,776723,16827340
371,3,2,18,15,12,10964,833,776723,16826981
372,14,0,4,9,5,1463,264,776723,16826808
373,5,1,33,15,12,6374,1027,776723,16826413
374,4,1,34,18,13,8856,1163,776723,16822405
375,6,1,23,13,10,4948,646,776723,16822247
376,10,0,18,15,11,8404,821,776723,16822043
377,18,0,2,7,5,1427,156,776723,16821981
378,2,1,33,17,12,3963,1087,776723,16821723
379,5,2,22,14,11,7422,798,776723,16821550
380,6,0,33,15,11,2278,787,776723,16775794
381,8,1,22,15,10,5551,866,776723,16775437
382,9,3,15,14,11,10178,802,776723,16775145
383,4,4,26,16,14,10329,966,776723,16774759
384,16,0,4,9,6,1752,286,776723,16774620
385,2,3,29,17,15,12364,1019,776723,16774233
386,7,0,35,16,11,2791,721,776723,16594284
387,12,0,12,11,7,2311,493,776723,16593433
388,16,0,10,10,6,1446,313,776723,16560745
389,10,0,23,14,10,3253,720,776723,16560164
390,13,0,13,10,7,1382,363,776723,16559963
391,9,0,21,14,10,5534,779,776723,16559582
392,11,2,9,12,9,4970,485,776723,16559362
393,13,0,7,11,7,3682,408,776723,16559133
394,10,0,19,12,9,3955,514,776723,16558590
395,2,1,34,19,15,12356,1226,776723,16558217
396,16,0,4,10,6,1503,301,776723,16558088
397,7,0,17,13,9,2992,640,776723,16557862
398,4,1,21,15,11,8597,808,776723,16557614
399,9,0,23,14,10,2555,701,776723,16545859
400,6,3,23,16,11,5575,1025,776723,16545245
401,17,0,8,8,5,133,225,776723,16545040
402,2,2,22,17,13,11252,1224,776723,16544370
403,10,1,7,11,7,3136,468,776723,16544076
404,17,0,10,10,6,791,293,776723,16542823
405,11,1,9,10,7,2832,319,776723,16542633
406,11,1,15,11,9,5456,431,776723,16542424
407,18,0,2,5,3,56,127,776723,16542330
408,1,3,24,19,15,13666,1182,776723,16541902
409,11,1,12,13,9,5077,552,776723,16495523
410,14,0,8,9,5,381,314,776723,16495340
411,1,3,37,19,16,14894,1275,776723,16454453
412,12,0,10,11,6,293,398,776723,16454383
413,12,0,5,10,5,771,333,776723,16451040
