,playerKillAverage,monsterKillAverage,bestWeaponLevelAverage,cluster,characterName,,,,,,,,,,,,,,,,,,,
2,0.183365762,0.396070188,0.550614319,3,Fiora,,1,0.428777857,-0.731145321,-0.993581479,3,Aya,,,,,,,,,,´Ù²Î,,
3,-1.045018615,-0.150993849,-0.261811953,3,Magnus,,3,-1.045018615,-0.150993849,-0.261811953,3,Magnus,,,,,6,-2.13110856,0.583748156,-0.259375688,5,Hyunwoo,,
4,0.772220769,0.415222382,0.263344497,3,Zahir,,4,0.772220769,0.415222382,0.263344497,3,Zahir,,,,,10,-1.729404357,-1.072392193,-1.5690951,5,Yuki,,Å³ ´ë½Å »ç³É
9,0.019268883,0.784760063,0.693630186,3,LiDailin,,12,-0.067381225,-0.686947085,-1.078478498,3,Xiukai,,,,,18,-1.648005756,-1.207191838,-0.334950069,5,Emma,,
11,0.491928454,0.593601,0.425841908,3,Hyejin,,13,-0.304486512,0.054211013,-0.51204061,3,Chiara,,,,,48,-2.922535997,-0.344109614,-1.797996158,5,Felix,,
13,-0.304486512,0.054211013,-0.51204061,3,Chiara,,17,0.020872695,-0.195330728,-0.937217371,3,Shoichi,,,,,,,,,,,,
19,-0.522789086,0.284875208,0.157777413,3,Lenox,,19,-0.522789086,0.284875208,0.157777413,3,Lenox,,,,,,,,,,´Ù²Î,,
20,-0.11811013,0.418344188,-0.00146619,3,Rozzi,,20,-0.11811013,0.418344188,-0.00146619,3,Rozzi,,,,,8,-0.532443602,-1.426635463,-2.697090955,4,Isol,,»ç³É ´ë½Å Å³
21,-0.495797967,1.201570279,0.479041873,3,Luke,,22,-0.45682672,0.057049713,-0.327895981,3,Cathy,,,,,32,0.616826255,-1.527234624,-1.582210521,4,Nicky,,
22,-0.45682672,0.057049713,-0.327895981,3,Cathy,,23,0.226938529,-0.030539224,-0.162446273,3,Adela,,,,,39,-0.116443154,-1.674843371,-1.789836716,4,Chloe,,
23,0.226938529,-0.030539224,-0.162446273,3,Adela,,27,-0.342782542,-0.395884397,-0.166818679,3,Sua,,,,,,,,,,,,
27,-0.342782542,-0.395884397,-0.166818679,3,Sua,,28,-0.507806043,-1.212115897,-0.258406957,3,Leon,,,,,,,,,,,,
29,0.395144937,0.6569324,1.106930727,3,Eleven,,34,-0.393094248,-0.029175047,-0.092576117,3,Jan,,,,,,,,,,,,
31,-0.670772841,0.369996842,0.719501068,3,William,,36,0.057494069,0.068990972,0.464141137,3,Daniel,,,,,,,,,,,,
34,-0.393094248,-0.029175047,-0.092576117,3,Jan,,37,0.112004304,-0.351124738,0.144754097,3,Jenny,,,,,,,,,,,,
35,-0.416949204,0.622459342,0.880426105,3,Eva,,38,0.309160932,-0.703379556,-0.281851156,3,Camilo,,,,,,,,,,,,
36,0.057494069,0.068990972,0.464141137,3,Daniel,,40,0.603120429,-0.135661437,-0.599744089,3,Johann,,,,,,,,,,,,
37,0.112004304,-0.351124738,0.144754097,3,Jenny,,41,0.047866926,-0.347348453,0.106283342,3,Bianca,,,,,,,,,,,,
40,0.603120429,-0.135661437,-0.599744089,3,Johann,,42,-0.307340093,-0.140540857,-0.044432431,3,Celine,,,,,,,,,,,,
41,0.047866926,-0.347348453,0.106283342,3,Bianca,,43,0.024683845,0.165013712,0.19222787,3,Echion,,,,,,,,,,,,
42,-0.307340093,-0.140540857,-0.044432431,3,Celine,,44,-0.645898983,0.127938148,0.199750725,3,Mai,,,,,,,,,,,,
43,0.024683845,0.165013712,0.19222787,3,Echion,,47,0.586341872,-0.404077815,-0.142021862,3,Tia,,,,,,,,,,,,
44,-0.645898983,0.127938148,0.199750725,3,Mai,,,,,,,,,,,,,,,,,,,
47,0.586341872,-0.404077815,-0.142021862,3,Tia,,,,,,,,,,,,,,,,,,,
