,gameRank,playerKill,monsterKill,useEmoticonCount,characterLevel,bestWeaponLevel,mmrGain,gameId,userNum,damageToPlayer,totalTime,craftLegend,damageFromPlayer,characterNum,,,
162,5,2,37,1,17,17,2,17020876,824539,17188,913,1,10172,17,,,
163,1,12,52,1,19,20,54,17020324,824539,36086,1195,3,9574,17,,,
164,13,0,13,1,12,8,-21,17020072,824539,2391,437,0,2715,17,,,
165,14,2,12,1,11,11,-12,17019796,824539,8765,428,0,5839,17,,,
166,18,0,0,1,5,4,-23,17019665,824539,882,111,0,1149,17,,,
167,15,0,7,1,9,6,-23,17019489,824539,1585,246,0,2104,17,,,
168,7,3,11,1,12,12,-3,17019192,824539,14195,472,0,6763,17,,,
169,13,2,6,1,10,9,-13,17018909,824539,7956,341,0,4095,17,,,
170,1,8,55,1,19,20,43,17018309,824539,21952,1151,3,5541,17,,,
171,16,0,5,1,9,6,-19,17018127,824539,2998,260,0,4343,17,,,
172,9,3,13,1,12,10,-5,17017841,824539,8068,464,0,5066,17,,,
173,7,3,18,1,15,14,1,17017440,824539,12128,715,1,5289,17,,,
174,10,0,12,1,10,9,-16,17017118,824539,5646,380,0,2657,17,,,
175,11,1,13,1,14,11,-12,17016805,824539,6745,550,0,5813,17,,,
176,6,3,33,1,17,16,6,17016142,824539,11303,845,2,7551,17,,,
177,4,2,30,1,18,17,-1,17015698,824539,17828,1044,0,10015,17,,,
178,5,1,37,1,18,15,-3,17015287,824539,9299,1011,1,10853,17,,,
179,4,4,38,1,17,18,2,17014882,824539,18988,1001,1,9956,17,,,
180,13,0,16,1,12,10,-21,17005600,824539,6909,439,0,4566,17,,,
181,13,1,8,2,11,8,-17,17005289,824539,5368,361,0,3014,17,,,
182,8,1,20,1,15,13,-8,17004778,824539,11731,683,0,7226,17,,,
183,1,6,50,1,19,19,28,17004009,824539,17040,1149,3,6630,17,,,
184,6,2,25,1,18,17,-2,17003426,824539,21681,860,3,12283,17,,,
185,6,4,22,1,17,16,3,17002802,824539,16037,828,1,5943,17,,,
186,4,3,45,1,18,17,-1,17002050,824539,18916,1104,0,9998,17,,,
187,6,2,32,1,16,15,-5,17001359,824539,14821,929,1,9314,17,,,
188,4,2,40,1,18,17,3,17000625,824539,17036,1090,0,11329,17,,,
189,3,6,42,1,19,19,17,16999870,824539,17489,1078,3,11489,17,,,
190,8,2,18,1,13,11,-9,16999428,824539,7586,561,0,5666,17,,,
191,14,2,9,1,10,8,-14,16999164,824539,4191,325,1,3355,17,,,
192,3,2,36,1,19,15,4,16998485,824539,11441,1165,1,9811,17,,,
193,1,7,46,1,20,19,32,16997824,824539,21055,1183,2,12608,17,,,
194,1,5,52,1,19,20,26,16997229,824539,20670,1167,1,7920,17,,,
195,1,4,24,2,17,15,20,16992267,824539,13911,1005,3,9156,17,,,
196,15,0,3,1,9,6,-20,16992105,824539,2377,289,0,3211,17,,,
197,2,5,35,1,19,18,18,16991650,824539,19320,1184,0,10566,17,,,
198,1,4,44,2,19,20,22,16991238,824539,22536,1153,1,11241,17,,,
199,2,8,23,1,15,16,29,16990938,824539,18697,712,0,6914,17,,,
200,11,2,30,1,14,12,-8,16990679,824539,5939,564,0,1842,17,,,
201,10,3,27,1,14,13,-1,16990464,824539,8442,605,0,7443,17,,,
202,1,6,37,2,18,17,31,16990123,824539,16125,1036,1,9729,17,,,
203,1,3,55,1,20,18,15,16989718,824539,16773,1149,1,11561,17,,,
204,11,1,8,1,11,10,-12,16989588,824539,8064,362,0,5302,17,,,
205,5,3,30,1,18,16,3,16989307,824539,14561,950,1,10640,17,,,
206,8,1,18,1,14,13,-9,16984768,824539,16775,658,0,5137,17,,,
207,17,0,4,1,9,7,-23,16984657,824539,3821,251,0,2114,17,,,
208,5,5,31,1,17,16,16,16984391,824539,15067,957,2,9510,17,,,
